iter	Logloss
478	0.1215787943
479	0.1215319991
480	0.1214785338
481	0.1214328452
482	0.1213899432
483	0.1213322626
484	0.1212764656
485	0.1212305666
486	0.1211695375
487	0.1211162015
488	0.1210661022
489	0.1209962142
490	0.1209562119
491	0.1208974142
492	0.1208375107
493	0.1207403416
494	0.1207166915
495	0.1206387863
496	0.1205081044
497	0.1204576932
498	0.1203885879
499	0.1203158893
500	0.120290726
501	0.1202343142
502	0.1201518752
503	0.1200877365
504	0.12002501
505	0.1199762855
506	0.1198984548
507	0.1198600748
508	0.1198100114
509	0.1197468438
510	0.1196929914
511	0.1196819517
512	0.11960921
513	0.1195735921
514	0.1195200634
515	0.1194904132
516	0.1194609549
517	0.1194080171
518	0.1193876362
519	0.1193468703
520	0.1192744231
521	0.1192538926
522	0.1192370222
523	0.1191619679
524	0.1190973099
525	0.119030362
526	0.1189893295
527	0.1189202421
528	0.1188719184
529	0.1188265306
530	0.1187394307
531	0.1186883681
532	0.1185993773
