iter	Passed	Remaining
0	77	7716
1	188	9231
2	344	11130
3	544	13059
4	737	14017
5	830	13008
6	910	12095
7	1039	11955
8	1160	11730
9	1253	11282
10	1341	10855
11	1513	11100
12	1590	10644
13	1662	10214
14	1731	9810
15	1796	9433
16	1866	9110
17	1955	8907
18	2065	8807
19	2241	8967
20	2391	8994
21	2528	8965
22	2605	8722
23	2674	8470
24	2772	8317
25	2849	8110
26	2911	7871
27	2969	7636
28	3027	7412
29	3086	7201
30	3153	7018
31	3212	6826
32	3272	6643
33	3349	6501
34	3418	6349
35	3485	6195
36	3545	6036
37	3601	5875
38	3730	5834
39	3845	5767
40	3915	5635
41	3976	5491
42	4044	5361
43	4118	5242
44	4243	5186
45	4370	5131
46	4509	5085
47	4628	5014
48	4701	4893
49	4783	4783
50	4850	4660
51	4909	4531
52	4966	4403
53	5027	4282
54	5085	4160
55	5155	4050
56	5226	3943
57	5289	3830
58	5348	3716
59	5462	3641
60	5577	3565
61	5672	3476
62	5741	3371
63	5843	3287
64	5972	3215
65	6048	3115
66	6124	3016
67	6196	2916
68	6255	2810
69	6314	2706
70	6374	2603
71	6459	2512
72	6541	2419
73	6610	2322
74	6657	2219
75	6720	2122
76	6779	2024
77	6837	1928
78	6912	1837
79	6979	1744
80	7044	1652
81	7104	1559
82	7162	1467
83	7219	1375
84	7283	1285
85	7345	1195
86	7411	1107
87	7474	1019
88	7528	930
89	7588	843
90	7645	756
91	7712	670
92	7774	585
93	7832	499
94	7892	415
95	7951	331
96	8009	247
97	8068	164
98	8127	82
99	8190	0
