iter	Accuracy	Logloss
0	0.8339494858	0.6257461656
1	0.8334834881	0.5729240121
2	0.8341824847	0.5320013396
3	0.8363571406	0.5004962306
4	0.8412656498	0.4701079702
5	0.8421510454	0.4504044066
6	0.8430675075	0.4346576604
7	0.8485973469	0.4164114797
8	0.8535369226	0.401649644
9	0.8562552425	0.3868779468
10	0.8579173009	0.3764493107
11	0.8615986828	0.3612882244
12	0.8646121346	0.3508662071
13	0.8660256609	0.343750471
14	0.8673459878	0.3372507627
15	0.8693963776	0.3314036363
16	0.8711050359	0.3259326528
17	0.8761378111	0.3165574441
18	0.8785454658	0.3107074549
19	0.8794929945	0.3072158125
20	0.8816365839	0.3024824294
21	0.8819317158	0.2995783645
22	0.8827705117	0.2972705854
23	0.8839510392	0.2947113203
24	0.8891080804	0.2848491306
25	0.8939544565	0.2762260634
26	0.8993600298	0.2665242643
27	0.8995619622	0.2652757987
28	0.9019074839	0.2610116383
29	0.9021715493	0.2597984372
30	0.9032588773	0.2582399931
31	0.9039889403	0.2560662726
32	0.904936469	0.2545605979
33	0.9057752648	0.2524326453
34	0.9104197086	0.244373755
35	0.9120662338	0.2412842859
36	0.9132156948	0.237866006
37	0.9151573519	0.2327715548
38	0.9175028737	0.2291869398
39	0.9188853335	0.2266961871
40	0.9195998633	0.2253051117
41	0.9205939917	0.2235377147
42	0.9209512566	0.2224598604
43	0.9214172543	0.2215758459
44	0.9234676442	0.2181132437
45	0.9256112337	0.2145861899
46	0.9258597658	0.2129896838
47	0.9267296281	0.2106925319
48	0.9268538942	0.2093502969
49	0.9273509584	0.2079535554
50	0.9278169561	0.2067059096
51	0.9283916866	0.2052667009
52	0.9286246855	0.2038472865
53	0.9294324148	0.2025146652
54	0.9299450123	0.2010383678
55	0.9307061418	0.1997925342
56	0.9311566063	0.1986864478
57	0.9319954022	0.1974611329
58	0.9322594675	0.1965344819
59	0.9344185902	0.1923403797
60	0.9349467209	0.1904748638
61	0.9359719159	0.1883680369
62	0.9361272484	0.1866247574
63	0.9365155799	0.1860689955
64	0.9365932461	0.1857702109
65	0.9370592438	0.1851032059
66	0.9374631085	0.1844093461
67	0.9378825064	0.1837289422
68	0.9382553046	0.1830549005
69	0.9387523688	0.1820238042
70	0.9391562335	0.1809682526
71	0.9394668986	0.1801336535
72	0.9396377645	0.1796666232
73	0.9399484296	0.17896236
74	0.9400571624	0.178621952
75	0.9412842897	0.1759917793
76	0.941548355	0.1753491345
77	0.942092019	0.1744404003
78	0.9421852186	0.1740794755
79	0.9428065488	0.1728179755
80	0.9428842151	0.1718680821
81	0.9435832117	0.1709783043
82	0.9438006772	0.1706155891
83	0.9439870763	0.1700868733
84	0.9443132747	0.1693890428
85	0.9445152071	0.1689577715
86	0.9451365373	0.1678338126
87	0.9453850694	0.1670798269
88	0.9456491348	0.1666539777
89	0.9457578676	0.1663514795
90	0.9457889341	0.1660922024
91	0.9459597999	0.1651439036
92	0.9462549318	0.1641217584
93	0.9464568641	0.1637845575
94	0.94662773	0.1630883681
95	0.9466743297	0.1626107078
96	0.946689863	0.1623946841
97	0.946751996	0.162063855
98	0.9468296623	0.1616894605
99	0.9472801268	0.1612386338
