iter	Accuracy	Logloss
0	0.905203421	0.5818606774
1	0.9046172701	0.5000923139
2	0.903391682	0.441703201
3	0.9063490795	0.3960199527
4	0.9074414515	0.3603510567
5	0.9068286574	0.3352909337
6	0.9068553007	0.3151877746
7	0.9166067194	0.2934780399
8	0.9215890017	0.2764475036
9	0.9263048517	0.2625829781
10	0.9271041483	0.2508614039
11	0.927663656	0.2431107114
12	0.9278235153	0.2368531466
13	0.928143234	0.2313046601
14	0.9296885408	0.2249901857
15	0.9302480484	0.2204988962
16	0.9309940586	0.2165941933
17	0.9313937069	0.2136051475
18	0.9322462899	0.2095180555
19	0.9332320891	0.206298344
20	0.9347241095	0.2037467566
21	0.9356566222	0.2015423638
22	0.9367756374	0.1997725523
23	0.9381077985	0.1981799011
24	0.9386140197	0.1968455753
25	0.9404524019	0.1946648469
26	0.9431700104	0.191562663
27	0.9443156689	0.1889209
28	0.9451416087	0.1869765808
29	0.9455146138	0.1859233048
30	0.9461007647	0.1842992858
31	0.9468734181	0.1833579997
32	0.9473796393	0.1820058137
33	0.9474062825	0.1809753223
34	0.9476727147	0.1798883059
35	0.9478858604	0.1787004615
36	0.9481256494	0.1776424502
37	0.9481256494	0.1771076215
38	0.9486318706	0.1764834664
39	0.9488183732	0.1756386088
40	0.9489782325	0.1748927712
41	0.9492446647	0.1742695379
42	0.9493778808	0.1738733154
43	0.9495110969	0.173441963
44	0.9497508859	0.1729753463
45	0.9500173181	0.1722861365
46	0.9504702528	0.1717770443
47	0.9505235393	0.1714583754
48	0.9506034689	0.1708029718
49	0.9507633283	0.1703821323
50	0.9507633283	0.1700069181
51	0.9506833986	0.1697405231
52	0.9507899715	0.1694365961
53	0.9509498308	0.1689964287
54	0.9511363334	0.1686336502
55	0.9512961927	0.1683120898
56	0.9512961927	0.1677220158
57	0.9513761223	0.1672689388
58	0.9514294088	0.1670643331
59	0.9515892681	0.1668611223
60	0.9515359817	0.1665921487
61	0.9515626249	0.1664815929
62	0.9515626249	0.1661218097
63	0.951695841	0.1659072669
64	0.9516691978	0.1657568339
65	0.9517224842	0.1657452122
66	0.9515892681	0.1654779496
67	0.951695841	0.1652529195
68	0.9519889164	0.1648738229
69	0.9519622732	0.1647911847
70	0.9520155596	0.1645780249
71	0.9520155596	0.1643743645
72	0.9520954893	0.1641171107
73	0.9520954893	0.1639774407
74	0.9520155596	0.163796368
75	0.9521487757	0.1634384242
76	0.9520688461	0.1633188516
77	0.9522287054	0.162957675
78	0.9522553486	0.1627098141
79	0.9522819918	0.1625438068
80	0.9523086351	0.1623703201
81	0.9523619215	0.1621324314
82	0.9523619215	0.1618238975
83	0.9525484241	0.1616155175
84	0.9525217808	0.1614030268
85	0.9524418512	0.1612762099
86	0.9524418512	0.1611324555
87	0.9526549969	0.1608561796
88	0.9527615698	0.1607086805
89	0.9528414995	0.1605111313
90	0.9528947859	0.160265438
91	0.9529480724	0.1600456352
92	0.9529214291	0.159846892
93	0.9529214291	0.1595480566
94	0.9530013588	0.1593757899
95	0.9530013588	0.1592454605
96	0.9529747156	0.158935062
97	0.953028002	0.1587095332
98	0.9530812885	0.158448386
99	0.9531345749	0.1582245783
