iter	Passed	Remaining
0	128	12763
1	207	10190
2	286	9248
3	372	8944
4	466	8867
5	557	8741
6	670	8903
7	794	9135
8	867	8774
9	954	8591
10	1023	8279
11	1096	8039
12	1163	7785
13	1236	7597
14	1306	7403
15	1390	7301
16	1462	7140
17	1524	6946
18	1598	6814
19	1661	6647
20	1729	6507
21	1797	6372
22	1859	6225
23	1977	6262
24	2054	6164
25	2122	6042
26	2186	5912
27	2251	5789
28	2320	5681
29	2405	5611
30	2503	5573
31	2571	5463
32	2635	5349
33	2699	5239
34	2765	5135
35	2826	5024
36	2894	4928
37	2962	4833
38	3027	4735
39	3105	4657
40	3226	4643
41	3300	4558
42	3371	4469
43	3438	4376
44	3503	4282
45	3565	4185
46	3650	4116
47	3797	4113
48	3933	4093
49	4043	4043
50	4126	3965
51	4193	3871
52	4263	3781
53	4327	3686
54	4391	3592
55	4456	3501
56	4533	3419
57	4609	3337
58	4678	3251
59	4888	3258
60	5116	3271
61	5278	3235
62	5364	3150
63	5436	3057
64	5520	2972
65	5592	2881
66	5661	2788
67	5735	2698
68	5802	2606
69	5834	2500
70	5903	2411
71	5971	2322
72	6004	2220
73	6068	2132
74	6137	2045
75	6227	1966
76	6314	1886
77	6355	1792
78	6425	1707
79	6493	1623
80	6562	1539
81	6626	1454
82	6689	1370
83	6754	1286
84	6829	1205
85	6901	1123
86	6971	1041
87	7034	959
88	7094	876
89	7159	795
90	7227	714
91	7291	634
92	7355	553
93	7416	473
94	7481	393
95	7543	314
96	7608	235
97	7676	156
98	7739	78
99	7800	0
