iter	Accuracy	Logloss
0	0.8324427599	0.6241501329
1	0.8360620088	0.5706824269
2	0.8369940042	0.5286324989
3	0.8385007301	0.4967303291
4	0.8393550592	0.4720624089
5	0.8393861257	0.4529378801
6	0.8394948585	0.4384200155
7	0.8456460281	0.4196900602
8	0.8595327596	0.3964139612
9	0.859128895	0.3888270174
10	0.8606666874	0.3753562457
11	0.8632762745	0.3665959726
12	0.8660101277	0.352853905
13	0.8676255864	0.3437533636
14	0.8705924384	0.3346662021
15	0.8720059648	0.3274606763
16	0.8748951505	0.3208291013
17	0.8766659418	0.3159843488
18	0.8779862686	0.3120542191
19	0.8844791699	0.3002502774
20	0.8851626332	0.2975693795
21	0.8854266986	0.2953457057
22	0.8854111653	0.29335714
23	0.885877163	0.2913490274
24	0.888844015	0.285374713
25	0.8891702134	0.283667721
26	0.8930224611	0.2771266296
27	0.8952747833	0.2724906093
28	0.8959737799	0.2704393333
29	0.8978688372	0.265356588
30	0.9004473578	0.2589072974
31	0.9068936593	0.2479372568
32	0.9089129827	0.244071483
33	0.9107614402	0.241485462
34	0.9111497717	0.2405516952
35	0.9119264345	0.2386840587
36	0.9127030973	0.2374514577
37	0.9139302246	0.2346932825
38	0.9145204884	0.2332815321
39	0.9150486191	0.2322297689
40	0.9157165491	0.2309580116
41	0.9160582808	0.2302152382
42	0.9182640032	0.2266604284
43	0.9186057349	0.2245911079
44	0.9196619963	0.2219272959
45	0.9204541924	0.2198068087
46	0.9205939917	0.2190620169
47	0.9208580571	0.2181972441
48	0.9213706546	0.2171743417
49	0.9218987853	0.2158241348
50	0.9221473174	0.2153635887
51	0.9234831775	0.2129370257
52	0.924120041	0.2119292691
53	0.9251297027	0.2100385406
54	0.9261393644	0.208616148
55	0.9263723632	0.2080069764
56	0.9266208953	0.2074690532
57	0.9268228277	0.2064427109
58	0.9272732921	0.2058006341
59	0.9279722887	0.2049387676
60	0.9284538196	0.2034435893
61	0.9287334182	0.2030235818
62	0.9289664171	0.2025040498
63	0.9292460157	0.2012097956
64	0.9296964802	0.1995164773
65	0.9300382118	0.1991588452
66	0.9303178104	0.198488969
67	0.9306750753	0.1976097478
68	0.930954674	0.197050454
69	0.9313740719	0.1965013313
70	0.9319643356	0.1956381083
71	0.933439995	0.1923510617
72	0.9337351269	0.1918571745
73	0.9341700581	0.1913068454
74	0.9346360558	0.1896987148
75	0.93513312	0.188833187
76	0.9355369847	0.1869915752
77	0.9359563826	0.1861845717
78	0.9362359812	0.185607512
79	0.9364689801	0.1851671869
80	0.9375718413	0.1830815847
81	0.9381310386	0.1812186304
82	0.9382087048	0.1808144965
83	0.9384727702	0.1794376587
84	0.9388455684	0.1791138798
85	0.9391407002	0.1782073412
86	0.9396377645	0.177593755
87	0.9399018298	0.1769843384
88	0.9409270248	0.175027834
89	0.9410668241	0.1747281568
90	0.9409580913	0.1744985389
91	0.9418279536	0.1727410448
92	0.942029886	0.1720927139
93	0.9424803504	0.1714303966
94	0.9427599491	0.1706409138
95	0.9434744789	0.1686315308
96	0.9439560098	0.1679501968
97	0.9440336761	0.1676745504
98	0.9443132747	0.1673066028
99	0.9445152071	0.1664458994
