iter	Passed	Remaining
0	108	10761
1	225	11026
2	338	10929
3	450	10806
4	561	10674
5	709	11110
6	826	10986
7	954	10973
8	1061	10733
9	1146	10318
10	1236	10004
11	1384	10149
12	1494	10002
13	1593	9789
14	1745	9892
15	1832	9620
16	1928	9414
17	2079	9472
18	2170	9252
19	2259	9038
20	2377	8944
21	2527	8959
22	2620	8774
23	2705	8568
24	2794	8384
25	2908	8276
26	3056	8263
27	3183	8185
28	3336	8167
29	3491	8146
30	3643	8108
31	3799	8073
32	3884	7887
33	3975	7716
34	4106	7626
35	4300	7646
36	4400	7492
37	4488	7322
38	4576	7158
39	4671	7007
40	4775	6871
41	4992	6895
42	5170	6853
43	5343	6800
44	5498	6720
45	5607	6583
46	5699	6426
47	5844	6332
48	5940	6183
49	6040	6040
50	6161	5919
51	6314	5828
52	6436	5707
53	6535	5567
54	6665	5453
55	6786	5332
56	6876	5187
57	6975	5051
58	7120	4948
59	7215	4810
60	7305	4670
61	7427	4552
62	7542	4429
63	7627	4290
64	7712	4152
65	7853	4045
66	7963	3922
67	8076	3800
68	8181	3675
69	8322	3566
70	8417	3438
71	8512	3310
72	8608	3184
73	8694	3054
74	8781	2927
75	8865	2799
76	8947	2672
77	9087	2563
78	9271	2464
79	9411	2352
80	9599	2251
81	9704	2130
82	9810	2009
83	9972	1899
84	10146	1790
85	10260	1670
86	10345	1545
87	10417	1420
88	10504	1298
89	10619	1179
90	10881	1076
91	11059	961
92	11173	841
93	11275	719
94	11376	598
95	11550	481
96	11781	364
97	11916	243
98	12010	121
99	12110	0
