iter	Accuracy	Logloss
0	0.8274978253	0.6266111893
1	0.8343171368	0.5699907709
2	0.8368491363	0.5295872164
3	0.8460295762	0.4955593521
4	0.8455635641	0.4688904385
5	0.8457965702	0.4485391269
6	0.8454082267	0.4333392546
7	0.8458897726	0.4206028335
8	0.8462470486	0.4115199152
9	0.8480800298	0.3954418499
10	0.8505654281	0.3838113176
11	0.8534547036	0.3686323076
12	0.8559556356	0.3583324135
13	0.8608642973	0.3513693587
14	0.8631166894	0.3447838908
15	0.867077793	0.3361860343
16	0.8680564185	0.3313947148
17	0.869998136	0.3271881054
18	0.8745184541	0.3183835175
19	0.8812756307	0.3064764278
20	0.8819280477	0.303440059
21	0.8832328818	0.3008476388
22	0.8898657885	0.2887080321
23	0.8907046104	0.2868404117
24	0.8919939108	0.2829251139
25	0.8924133217	0.2811238531
26	0.8956598732	0.2737305892
27	0.8978501305	0.2694464897
28	0.8984404126	0.2680370578
29	0.8998539829	0.2641378698
30	0.9015471604	0.2613171476
31	0.9026034547	0.258749372
32	0.9070461041	0.2503261372
33	0.9091742264	0.2461693598
34	0.9101994532	0.2445220167
35	0.910447993	0.2432329497
36	0.9122809743	0.2394401551
37	0.9131353299	0.2383040668
38	0.9143624953	0.2366251996
39	0.9144556978	0.2358914093
40	0.9157139307	0.2335988668
41	0.9165527526	0.230934797
42	0.9171741021	0.2299604842
43	0.9185410712	0.2274250296
44	0.9186964086	0.2260507604
45	0.9192400895	0.2239243883
46	0.9200789114	0.222724948
47	0.9216322853	0.2200540184
48	0.9220827638	0.2193204251
49	0.9238225426	0.2144732241
50	0.9241021499	0.2139522861
51	0.9243040885	0.2122362031
52	0.9257331925	0.2091366509
53	0.9267118181	0.2061392619
54	0.9270069591	0.2052670267
55	0.92933702	0.2020047564
56	0.9299428358	0.2006327465
57	0.9299894371	0.2001293761
58	0.9307505903	0.1980888792
59	0.9310767988	0.1971995967
60	0.9309680626	0.1968841562
61	0.9324748353	0.1932435914
62	0.932971915	0.1913226706
63	0.9334845284	0.1903192541
64	0.9337952032	0.1896936812
65	0.9339660743	0.1887427141
66	0.9345252889	0.18786364
67	0.9348980987	0.1863065807
68	0.9357835218	0.1847037285
69	0.9359854604	0.1842400348
70	0.9362806015	0.1825725389
71	0.9376009693	0.1801701389
72	0.9379427116	0.1795167049
73	0.9382533864	0.1789066922
74	0.9385329937	0.1777167928
75	0.9388902697	0.1774134407
76	0.9396203554	0.1764436699
77	0.9400242326	0.1759130612
78	0.9407077172	0.1748874785
79	0.9408785883	0.1741207976
80	0.9412669318	0.1733746308
81	0.9417640114	0.1728245239
82	0.9419348826	0.1722648584
83	0.942385361	0.1716074511
84	0.9424785634	0.1707634098
85	0.9427892382	0.1701898412
86	0.9430222443	0.1695390178
87	0.9433329191	0.1685320625
88	0.9435503915	0.1678727741
89	0.9438299988	0.1672814793
90	0.9439698024	0.1668815358
91	0.9442649435	0.16650646
92	0.9442804772	0.1662110554
93	0.9444202809	0.1660237208
94	0.9447309556	0.1655883282
95	0.9450105629	0.1652138581
96	0.9451348329	0.1643919744
97	0.945305704	0.1640384594
98	0.9453833727	0.1637746117
99	0.9455853113	0.1635458647
