iter	Passed	Remaining
0	104	10375
1	387	18992
2	552	17855
3	721	17321
4	850	16159
5	1038	16264
6	1154	15341
7	1258	14478
8	1424	14401
9	1575	14180
10	1708	13822
11	1868	13700
12	1956	13096
13	2061	12663
14	2210	12525
15	2304	12100
16	2400	11720
17	2492	11354
18	2584	11020
19	2676	10705
20	2761	10387
21	2843	10081
22	2976	9965
23	3183	10081
24	3365	10097
25	3571	10165
26	3883	10500
27	4082	10496
28	4287	10496
29	4449	10382
30	4616	10274
31	4743	10078
32	4878	9903
33	4983	9673
34	5078	9431
35	5217	9275
36	5364	9134
37	5467	8921
38	5575	8721
39	5731	8596
40	5912	8508
41	6098	8421
42	6401	8486
43	6563	8353
44	6771	8276
45	7040	8264
46	7199	8119
47	7359	7972
48	7472	7777
49	7604	7604
50	7720	7417
51	8000	7385
52	8418	7465
53	8569	7299
54	8783	7186
55	8962	7041
56	9099	6864
57	9284	6723
58	9465	6578
59	9574	6382
60	9841	6292
61	10039	6153
62	10220	6002
63	10348	5821
64	10588	5701
65	10739	5532
66	10924	5380
67	11076	5212
68	11195	5029
69	11309	4847
70	11523	4706
71	11650	4530
72	11781	4357
73	11915	4186
74	12057	4019
75	12196	3851
76	12317	3679
77	12437	3507
78	12568	3341
79	12729	3182
80	12894	3024
81	13030	2860
82	13203	2704
83	13371	2546
84	13532	2388
85	13690	2228
86	13814	2064
87	13915	1897
88	14016	1732
89	14127	1569
90	14240	1408
91	14351	1247
92	14456	1088
93	14563	929
94	14667	771
95	14768	615
96	14866	459
97	14974	305
98	15075	152
99	15188	0
