iter	Passed	Remaining
0	112	11167
1	223	10945
2	317	10264
3	409	9835
4	689	13097
5	825	12934
6	925	12296
7	1038	11944
8	1151	11640
9	1264	11377
10	1384	11199
11	1508	11058
12	1597	10691
13	1758	10803
14	1952	11061
15	2096	11006
16	2304	11251
17	2495	11368
18	2595	11064
19	2695	10782
20	2787	10487
21	2933	10399
22	3060	10246
23	3191	10107
24	3353	10059
25	3522	10026
26	3620	9789
27	3720	9566
28	3818	9348
29	3902	9104
30	3989	8880
31	4078	8666
32	4189	8505
33	4320	8387
34	4420	8209
35	4509	8017
36	4632	7888
37	4781	7801
38	4880	7634
39	4970	7455
40	5094	7331
41	5195	7174
42	5284	7004
43	5373	6838
44	5515	6740
45	5664	6649
46	5762	6498
47	5887	6377
48	6019	6264
49	6115	6115
50	6228	5984
51	6367	5877
52	6458	5727
53	6548	5578
54	6638	5431
55	6726	5285
56	6841	5161
57	6997	5067
58	7123	4950
59	7227	4818
60	7324	4682
61	7561	4634
62	7816	4590
63	7904	4446
64	7993	4304
65	8083	4164
66	8183	4030
67	8280	3896
68	8382	3766
69	8490	3638
70	8597	3511
71	8705	3385
72	8833	3267
73	8928	3137
74	9020	3006
75	9122	2880
76	9258	2765
77	9409	2654
78	9502	2525
79	9597	2399
80	9670	2268
81	9759	2142
82	9846	2016
83	9934	1892
84	10026	1769
85	10111	1646
86	10286	1536
87	10515	1433
88	10712	1323
89	10852	1205
90	10975	1085
91	11076	963
92	11242	846
93	11482	732
94	11673	614
95	11805	491
96	11902	368
97	11993	244
98	12079	122
99	12165	0
