iter	Passed	Remaining
0	93	9251
1	181	8871
2	261	8466
3	347	8349
4	428	8146
5	519	8143
6	600	7973
7	727	8368
8	837	8472
9	948	8538
10	1041	8429
11	1127	8271
12	1229	8225
13	1346	8272
14	1458	8262
15	1690	8872
16	1911	9332
17	2040	9297
18	2157	9196
19	2405	9623
20	2569	9665
21	2651	9401
22	2822	9450
23	2970	9407
24	3063	9191
25	3223	9173
26	3439	9300
27	3617	9301
28	3815	9342
29	3918	9143
30	4010	8926
31	4098	8709
32	4195	8517
33	4389	8520
34	4562	8473
35	4745	8435
36	4907	8355
37	5013	8180
38	5105	7985
39	5209	7814
40	5295	7620
41	5403	7462
42	5634	7468
43	5900	7510
44	6001	7335
45	6103	7165
46	6194	6984
47	6282	6805
48	6378	6638
49	6466	6466
50	6552	6295
51	6641	6130
52	6724	5963
53	6850	5835
54	6989	5718
55	7151	5618
56	7295	5503
57	7397	5356
58	7499	5211
59	7585	5056
60	7666	4901
61	7748	4748
62	7827	4597
63	7914	4452
64	7995	4305
65	8067	4155
66	8151	4014
67	8234	3874
68	8439	3791
69	8559	3668
70	8725	3563
71	8847	3440
72	8975	3319
73	9086	3192
74	9223	3074
75	9317	2942
76	9403	2808
77	9562	2697
78	9682	2573
79	9792	2448
80	9878	2317
81	9989	2192
82	10085	2065
83	10191	1941
84	10355	1827
85	10571	1720
86	10744	1605
87	10873	1482
88	11040	1364
89	11228	1247
90	11386	1126
91	11649	1013
92	11990	902
93	12172	776
94	12334	649
95	12538	522
96	12677	392
97	12811	261
98	13028	131
99	13161	0
