iter	Accuracy	Logloss
0	0.8366367393	0.6252270562
1	0.842912175	0.5655745113
2	0.844667433	0.526050765
3	0.8450868309	0.4897645719
4	0.8510982012	0.4570904488
5	0.8522010625	0.4377934474
6	0.8526204604	0.4221730579
7	0.8533971232	0.4101821401
8	0.8538786542	0.400176317
9	0.8562707757	0.3854687469
10	0.8576843021	0.3746743617
11	0.8611637516	0.3594471733
12	0.8634160738	0.3488791607
13	0.8658081953	0.3413077655
14	0.8683401162	0.3358750261
15	0.8703128398	0.3299498221
16	0.8711361024	0.3257158145
17	0.8738544223	0.3204170587
18	0.8794153282	0.3117809243
19	0.8823355805	0.3056245776
20	0.8860635621	0.2970889664
21	0.8873372891	0.2941156905
22	0.8872130231	0.2924728094
23	0.8951039175	0.2794283767
24	0.8949485849	0.2770667461
25	0.8953058498	0.2756866969
26	0.8957563143	0.2741793062
27	0.8958650471	0.2727966293
28	0.8965019106	0.270486061
29	0.9010220883	0.2619358016
30	0.9019851502	0.2598147406
31	0.9063965951	0.2520998697
32	0.9068936593	0.2505769636
33	0.9074062568	0.2497741759
34	0.9081363199	0.248103333
35	0.9093323806	0.2466474931
36	0.9111653049	0.2427827086
37	0.912439032	0.2400555466
38	0.9154214173	0.2344872026
39	0.9163534127	0.2325473847
40	0.9173475411	0.2297173331
41	0.9180776042	0.2280139436
42	0.9183572028	0.2273752302
43	0.9203609929	0.2236441171
44	0.9209201901	0.2225436919
45	0.9209667899	0.2217784005
46	0.9221473174	0.219960986
47	0.9224579825	0.2188747574
48	0.9229239802	0.2169651207
49	0.923576377	0.2152851468
50	0.9237783094	0.2143084583
51	0.9249588369	0.2106894256
52	0.9258597658	0.2093655176
53	0.9263102302	0.2085563782
54	0.9271334928	0.2069849668
55	0.9273354251	0.2063314844
56	0.9275373575	0.2058094283
57	0.9300692783	0.200800438
58	0.9318245363	0.1975921261
59	0.932709932	0.1957773538
60	0.9330516636	0.1950080992
61	0.9331914629	0.1943404644
62	0.9332846625	0.1939336925
63	0.9337661934	0.1931709927
64	0.9342632576	0.1924781949
65	0.9343875237	0.1916398666
66	0.9347137221	0.1908326032
67	0.9351797198	0.1903175152
68	0.9351797198	0.189699413
69	0.9357078505	0.189042857
70	0.9365621796	0.1879099193
71	0.9369971108	0.1866738934
72	0.9370592438	0.1862969351
73	0.9373543757	0.1858336321
74	0.9379912392	0.1840016697
75	0.9383640374	0.1832676525
76	0.9384727702	0.1828236583
77	0.9387057691	0.1825448691
78	0.9396222312	0.1813183108
79	0.9399173631	0.1807416744
80	0.940336761	0.1796740454
81	0.9407716922	0.1786360516
82	0.9412998229	0.1763679838
83	0.9415328218	0.1755547254
84	0.9421230855	0.1746880864
85	0.9420454192	0.1744809782
86	0.942092019	0.1738166494
87	0.9428065488	0.172519476
88	0.9430240144	0.1720880712
89	0.9434900121	0.1706991561
90	0.9444375408	0.168897062
91	0.9445307403	0.1683859394
92	0.9447326727	0.1681525131
93	0.9451210041	0.1671228469
94	0.9453074032	0.1665188166
95	0.9461151325	0.1640957818
96	0.946146199	0.1636972278
97	0.9464102644	0.1633904169
98	0.9465811302	0.1630299426
99	0.9467209295	0.1626991882
